id;Nombre del producto;Categoría;Subcategoría;Categorias;Precio incluido IVA de la variante;Código de producto;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
13;Camiseta Relincho Marino;Hombre;Camisetas;Hombre,Camisetas;24.95;camiseta-relincho-marino-1;Camiseta azul;Camiseta en tejido 100% algodón. Corte casual, cuello redondo, manga corta. Aplique con caballo en relieve centrado en la parte delantera. Etiqueta con la marca tejida en el bajo.;La Garrocha
14;Camiseta Relincho Blanco ;Hombre;Camisetas;Hombre,Camisetas;24.95;camiseta-relincho-blanco-1;Camiseta blanca ;Camiseta en tejido 100% algodón. Corte casual, cuello redondo, manga corta. Aplique con caballo en relieve centrado en la parte delantera. Etiqueta con la marca tejida en el bajo.;La Garrocha
15;Camiseta Wilton Blanco Crudo;Hombre;Camisetas;Hombre,Camisetas;24.95;camiseta-wilton-blanco-1;Camiseta blanca crudo;Camiseta en tejido 100% algodón. Corte casual, cuello redondo, manga corta. Bordado conmemorativo con dibujo del caballo de La Garrocha en la parte delantera. Etiqueta con la marca tejida en el lateral.;La Garrocha
16;Camisa Oxford Detalle Celeste;Hombre;Camisas;Hombre,Camisas;52.95;camisa-oxford-celeste-1;Camisa oxford celeste;Camisa lisa confeccionada en tejido 100% algodón. Corte semientallado, cuello clásico abotonado con contraste de raya kodak celeste y blanco en el interior, manga larga terminada en puño abotonado. Detalle textil cosido en botonera.;La Garrocha
17;Camisa Ribera Azul;Hombre;Camisas;Hombre,Camisas;52.95;camiza-ribera-azul-1;Camisa a rayas azul;Camisa de rayas confeccionada en tejido 100% algodón. Cuanta con un corte semientallado, cuello clásico y manga larga terminada en puño abotonado. Detalle cosido el extremo inferior de la botonera y en el lateral.;La Garrocha
18;Camisa Ribera Rojo;Hombre;Camisas;Hombre,Camisas;52.95;camisa-ribera-rojo-1 ;Camisa a rayas roja;Camisa de rayas confeccionada en tejido 100% algodón. Cuanta con un corte semientallado, cuello clásico y manga larga terminada en puño abotonado. Detalle cosido el extremo inferior de la botonera y en el lateral.;La Garrocha
19;Camisa Ribera Verde;Hombre;Camisas;Hombre,Camisas;52.95;camisa-ribera-verde-1;Camisa a rayas verde;Camisa de rayas confeccionada en tejido 100% algodón. Cuanta con un corte semientallado, cuello clásico y manga larga terminada en puño abotonado. Detalle cosido el extremo inferior de la botonera y en el lateral.;La Garrocha
20;Jersey de Pico Acero;Hombre;Jerseis / Sacos;Hombre,Jerseis / Sacos;46.95;jersey-pico-sc-acero-1;Jersey en v acero;Jersey clásico de punto elaborado en tejido 100% algodón. Cuello en v, manga larga.;La Garrocha
21;Jersey Cierre Medio Granada;Hombre;Jerseis / Sacos;Hombre,Jerseis / Sacos;49.95;jersey-m-crm-estruc-granada-1;Jersey de cierre medio rojo granada;Jersey de estructura confeccionado en tejido 100% algodón. Cuello alzado con abertura de cierre. El caballo de La Garrocha bordado en el pecho.;La Garrocha
22;Jersey Cierre Medio Acero;Hombre;Jerseis / Sacos;Hombre,Jerseis / Sacos;49.95;jersey-m-cre-estruc-1;Jersey de cierre medio azul acero;Jersey de estructura confeccionado en tejido 100% algodón. Cuello alzado con abertura de cierre. El caballo de La Garrocha bordado en el pecho.;La Garrocha
23;Jersey Cierre Medio Cactus;Hombre;Jerseis / Sacos;Hombre,Jerseis / Sacos;49.95;jersey-m-crm-estruc-cactus-1;Jersey de cierre medio verde cactus;Jersey de estructura confeccionado en tejido 100% algodón. Cuello alzado con abertura de cierre. El caballo de La Garrocha bordado en el pecho.;La Garrocha
24;Jersey de Pico con Coderas Marino;Hombre;Jerseis / Sacos;Hombre,Jerseis / Sacos;49.95;jersey-pico-coderas-marino-1;Jersey en v azul marino con coderas;Jersey clásico elaborado en tejido 100% algodón. Cuello en v, manga larga con coderas. Logo de caballo de La Garrocha bordado en el pecho.;La Garrocha
25;Pantalon Azul Marino;Hombre;Pantalones;Hombre,Pantalones;49.95;chinos-marino-1;Pantalon chino azul;Pantalón chino clásico elaborado en tejido de algodón, con un 3% de lycra. Cierre mediante botón y tapeta con cierre oculto, dos bolsillos laterales, y dos de ojal abotonado en la parte posterior, y trabillas para el cinturón.;La Garrocha
