Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante
chinos-marino-1;TALLA:Color:0;34:0;chinos-marino-1_variante_4;2;44,59821429
chinos-camel-1;TALLA:Color:0;30:0;chinos-camel-1_variente_1;3;44,59821429
chinos-camel-1;TALLA:Color:0;32:0;chinos-camel-1_variente_2;2;44,59821429
chinos-camel-1;TALLA:Color:0;34:0;chinos-camel-1_variente_3;2;44,59821429
zapato-oxford-1;TALLA:Color:0;39:0;zapato-oxford-1_variante_1;1;71,38392857
zapato-oxford-1;TALLA:Color:0;40:0;zapato-oxford-1_variante_2;1;71,38392857
zapato-oxford-1;TALLA:Color:0;41:0;zapato-oxford-1_variante_3;1;71,38392857
zapato-oxford-1;TALLA:Color:0;42:0;zapato-oxford-1_variante_4;1;71,38392857
zapato-oxford-1;TALLA:Color:0;43:0;zapato-oxford-1_variante_5;1;71,38392857
zapato-oxford-1;TALLA:Color:0;44:0;zapato-oxford-1_variante_6;2;71,38392857
zapato-oxford-1;TALLA:Color:0;45:0;zapato-oxford-1_variante_7;1;71,38392857
zapato-caña-1;TALLA:Color:0;39:0;zapato-caña-1_variante_1;1;71,38392857
zapato-caña-1;TALLA:Color:0;40:0;zapato-caña-1_variante_2;1;71,38392857
ALPARGATA-SOTOMAYOR-1;TALLA:Color:0;39:0;ALPARGATA-SOTOMAYOR-1_variante_1;2;29,41964286
ALPARGATA-SOTOMAYOR-1;TALLA:Color:0;44:0;ALPARGATA-SOTOMAYOR-1_variante_2;2;29,41964286
alpargata-sotomayor-tinto-1;TALLA:Color:0;40:0;alpargata-sotomayor-tinto-1_variante_1;1;29,41964286
alpargata-sotomayor-tinto-1;TALLA:Color:0;41:0;alpargata-sotomayor-tinto-1_variante_2;1;29,41964286
alpargata-sotomayor-tinto-1;TALLA:Color:0;42:0;alpargata-sotomayor-tinto-1_variante_3;1;29,41964286
alpargata-sotomayor-tinto-1;TALLA:Color:0;43:0;alpargata-sotomayor-tinto-1_variante_4;1;29,41964286
alpargata-sotomayor-tinto-1;TALLA:Color:0;44:0;alpargata-sotomayor-tinto-1_variante_5;1;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;38:0;alpargata-mascun-caza-1_variante_1;1;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;39:0;alpargata-mascun-caza-1_variante_2;1;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;40:0;alpargata-mascun-caza-1_variante_3;1;29,41964286
alpargata-mascun-caza-1;TALLA:Color:0;41:0;alpargata-mascun-caza-1_variante_4;2;29,41964286
