Nombre del Producto;Categoría;Subcategoría;CATe;Precio Incluido IVA;Número de artículo;En stock;Fabricante
KIT DIRECTV PREPAGO PROMOCIONAL;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;44,9904;D91020808;1;OTROS PROVEEDOR
LAPTO  LENOVO MOD V15-ADA;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;415,3072;99352168;7;LENOVO
LAPTO HP  5CG05263RJ;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;926,016;99352571;2;HP
"LAPTO HP 14"" PH SSD128 RYZEN3";TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;771,68;99353029;1;HP
LAPTOP RCA SPACE 1/15.6' JK125-TK-E156S;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;477,008;5LAP002;11;RCA
LAPTOP RCA TK E140J/14'/J4115;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;399,84;5LAP001;11;RCA
MICA PARA INSTALACION CELULAR;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;3,4496;99351646;40;OTROS PROVEEDOR
MICROFONO INAL/50 18/TS-013 1PC;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;26,0848;99352684;2;OTROS PROVEEDOR
MOUSE GENIUS 3 BOTONES;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;7,7168;99350613;6;GENIUS
MOUSE GENIUS WIRELLES;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;15,4336;99350577;6;GENIUS
PARLANTE BT RCA BH/NEGRO;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;12,2528;53HSRBH;4;RCA
PARLANTE BT RCA BH/ROJO;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;12,2528;53HSRBM;17;RCA
PARLANTE BT RCA BJ/NEGRO;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;6,9664;53HSRBJ;44;RCA
PARLANTE RCA/15' AL1504/AZUL/USB/TF/45W;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;112,9072;53HSRC7;5;RCA
PARLANTE RCA/15' AL1504/NEGRO/USB/TF/45W;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;119,4032;53HSRC8;20;RCA
PARLANTE RCA/15' AL1504/ROJO/USB/TF/45W;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;112,9072;53HSRC6;5;RCA
PARLANTE RCA/619/USB/TF;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;90,7424;53HSRCG;4;RCA
PARLANTE RCA/620/USB/TF;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;89,5552;53HSRCF;4;RCA
PARLANTES  AVANTI MOD. SPAU2312;TECNOLOGÍA;PARLANTES;TECNOLOGÍA,PARLANTES;217,784;99350571;1;AVANTI
"RCA TELEVISOR SMART TV 32""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;235,6256;7RT0016;13;RCA
"RCA TELEVISOR SMART TV 43""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;362,6224;7RT0017;12;RCA
"RCA TELEVISOR SMART TV 55""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;550,7376;7RT0018;19;RCA
"RCA TELEVISOR SMART TV 65""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;845,0624;7RT0019;6;RCA
SAMART  TV TCL 85;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;4012,736;99352517;1;TCL
SAMART  TV XTRATECH 65;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;935,6704;99352678;1;XTRATECH
"SOPORTE TV 0061 TOOL  37""-70""/QF01-46T";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;10,1808;99352608;7;OTROS PROVEEDOR
"SOPORTE TV 0061 TOOL 26""A55""  QF01-44F";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;6,6752;99352606;4;OTROS PROVEEDOR
"SOPORTE TV 0061 TOOL 37""-70""/QF01 46F";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;9,576;99352607;7;OTROS PROVEEDOR
"SOPORTE TV 0061 TOOL V 37""-80""/QF02-46T";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;16,5312;99352609;10;OTROS PROVEEDOR
"TCL TELEVISOR LED SMART TV 40""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;504,0336;7T10944;9;TCL
"TCL TELEVISOR SMART TV 32""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;373,7776;7T10922;12;TCL
"TCL TELEVISOR SMART TV 43""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;574,5936;7T10926;7;TCL
"TCL TELEVISOR SMART TV 50""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;809,1104;7T1092 7;3;TCL
"TCL TELEVISOR SMART TV 55""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;970,144;7T1093 9;2;TCL
"TCL TELEVISOR SMART TV 65""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;1322,328;7T1094 0;4;TCL
"TCL TELEVISOR SMART TV 75""";TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;1979,3648;7T1093 3;1;TCL
TECLADO USB GENIUS;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;15,4336;99350656;4;GENIUS
TELEFONO INALAMBRICO  AT3100;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;120,3776;99352565;1;OTROS PROVEEDOR
TELEFONO INALAMBRICO PNC KX-TGC350;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;131,1856;99352564;1;OTROS PROVEEDOR
TINTA IMPRESORA L3150 ORIG AMAR;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;15,4336;99353157;4;EPSON
