Código de producto;Nombre del producto;Categoría;Subcategoría;CATEGOR;Inventario inicial;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
195553216838        ;"LAPTOP ASUS CORE i3 - 4GB - 256GB SSD - 14"" FHD - X415EA-EB222";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CORE i3 - 4GB - 256GB SSD - 14"" FHD - X415EA-EB222";"NOMBRE DE PRODUCTO: 90NB0TT1-M02670
MARCA: ASUS
MODELO: X415EA-EB222
PROCESADOR: INTEL CORE i3-1115G4
MEMORIA: 4 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14 FHD
GRÁFICA: INTEL GRAPHICS
COLOR: GRIS";Asus
195553092852        ;"LAPTOP ASUS CORE i3 - 4GB - 256GB SSD - 14"" FHD - X415JA-EK366";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CORE i3 - 4GB - 256GB SSD - 14"" FHD - X415JA-EK366";"NOMBRE DE PRODUCTO: 90NB0ST1-M05810
MARCA: ASUS
MODELO: X415JA-EK366
PROCESADOR: INTEL CORE i3-1005G1
MEMORIA: 4 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14 FHD
GRÁFICA: INTEL GRAPHICS
COLOR: SILVER";Asus
195553394390        ;"LAPTOP ASUS CORE i5 - 8GB - 256GB SSD - 15,6"" FHD - X515EA-BQ1356T";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CORE i5 - 8GB - 256GB SSD - 15,6"" FHD - X515EA-BQ1356T";"NOMBRE DE PRODUCTO: 90NB0TY2-M22260
MARCA: ASUS
MODELO: X515EA-BQ1356T
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" FHD 
GRÁFICA: INTEL IRISxe
COLOR: PLATEADA";Asus
195553267755        ;"LAPTOP ASUS CORE i5 - 8GB - 512GB SSD - 2GB MX330  - 15,6"" FHD - X515EP-BQ199";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS CORE i5 - 8GB - 512GB SSD - 2GB MX330  - 15,6"" FHD - X515EP-BQ199";"NOMBRE DE PRODUCTO: 90NB0TZ3-M02
MARCA: ASUS
MODELO: X515EP-BQ199
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 512 GB SSD
PANTALLA: 15,6"" FHD WV
GRÁFICA: INTEL IRISxe
COLOR: PEACOCK BLUE";Asus
192876657591        ;"LAPTOP ASUS ZENBOOK RYZEN 5 - 8GB - 256GB SSD - 2GB MX350 - 14"" FHD - Q407I";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP ASUS ZENBOOK RYZEN 5 - 8GB - 256GB SSD - 2GB MX350 - 14"" FHD - Q407I";"NOMBRE DE PRODUCTO: 90NB0R89-M00010
MARCA: ASUS ZENBOOK
MODELO: Q407I/R5-4500U
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 14"" FHD
GRÁFICA: 2GB MX350 NVIDIA GEFORCE 
COLOR: SILVER";Asus
NT041DEL23          ;"LAPTOP DELL CORE i3 - 4GB - 1TB HDD - 14"" HD - 3410";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i3 - 4GB - 1TB HDD - 14"" HD - 3410";"NOMBRE DE PRODUCTO: L341i3CLS41TUB1WXCT0
MARCA: DELL
MODELO: 3410
PROCESADOR: INTEL CORE i3-10110U
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 14"" HD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";Dell
884116385127        ;"LAPTOP DELL CORE i3 - 4GB - 1TB HDD - 15,6"" UHD - 3501";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i3 - 4GB - 1TB HDD - 15,6"" UHD - 3501";"NOMBRE DE PRODUCTO: HMK90
MARCA: DELL
MODELO: 3501 INSPIRON 3000 SERIES
PROCESADOR: INTEL CORE i3-1115G4
MEMORIA: 4 GB DDR4
DISCOS: 1000 GB HDD
PANTALLA: 15,6"" UHD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRA";Dell
884116380894        ;"LAPTOP DELL CORE i5 - 8GB - 256GB SSD - 15,6""HD - 3501";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i5 - 8GB - 256GB SSD - 15,6""HD - 3501";"NOMBRE DE PRODUCTO: V9T2R
MARCA: DELL
MODELO: 3501 INSPIRON 15 3000 SERIES
PROCESADOR: INTEL CORE i5-1135G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" UHD
GRÁFICA: INTEL IRISXe
COLOR: GRIS";Dell
884116374367        ;"LAPTOP DELL CORE i7 - 8GB - 256GB SSD - 15,6"" FHD - 3501";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i7 - 8GB - 256GB SSD - 15,6"" FHD - 3501";"NOMBRE DE PRODUCTO: V28H4
MARCA: DELL
MODELO: 3501 INSPIRON 15
PROCESADOR: INTEL CORE i7-1165G7
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" FHD
GRÁFICA: INTEL IRISXe
COLOR: NEGRA";Dell
884116409311        ;"LAPTOP DELL CORE i3 - 8GB - 256GB SSD - 15.6"" HD - 3511";Computadoras;Laptop;Computadoras,Laptop;1;"LAPTOP DELL CORE i3 - 8GB - 256GB SSD - 15.6"" HD - 3511";"NOMBRE DE PRODUCTO: R039W
MARCA: DELL
MODELO: 3511 INSPIRON 15
PROCESADOR: INTEL CORE i3-1115G4
MEMORIA: 8 GB DDR4
DISCOS: 256 GB SSD
PANTALLA: 15,6"" HD
GRÁFICA: INTEL GRAPHICS
COLOR: NEGRO CARBON";Dell
