id;Código de producto;imagen;imagen2;imagen3
96;HDD-SSDEXT512GB;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HDD-SSDEXT512GB.jpg
97;FUE-GP450B;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/FUE-GP450B.jpg
98;FUE-GOLDPRO500;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/FUE-GOLDPRO500.jpg
99;FUE-PRO580;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/FUE-PRO580.jpg
100;FUE-PRO590;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/FUE-PRO590.jpg
101;FUE750W;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/FUE750W.jpg
102;IMP-3210;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/IMP-3210.jpg
103;CONT-RAZER1241;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/CONT-RAZER1241.jpg
104;CONT-RAZER1243;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/CONT-RAZER1243.jpg
105;PARQ160-IG;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ160-IG.jpg
106;PARQ160-O;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ160-O.jpg
107;PARQ160-R;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ160-R.jpg
108;PARQ180-B;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ180-B.jpg
109;PARQ180-IG;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ180-IG.jpg
110;PARQ180-O;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ180-O.jpg
111;PARQ180-R;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARQ180-R.jpg
112;PAR3500;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PAR3500.jpg
113;HD-E11;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HD-E11.jpg
114;HD-JT016;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HD-JT016.jpg
115;BS-KSB250;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/BS-KSB250.jpg
116;par600;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/par600.jpg
117;PAR-S001;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PAR-S001.jpg
118;PARBX;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/PARBX.jpg
119;LAP-ACER-SP314-54N-5;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-ACER-SP314-54N-5.jpg
120;LAP-ASUS-I31115;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-ASUS-I31115.jpg
121;LAP-ASUS-I7-1065;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-ASUS-I7-1065.jpg
122;LAPI7-S512F;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAPI7-S512F.jpg
123;LAP-TOSCELERON;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/LAP-TOSCELERON.jpg
