ID;Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca;IVA
172;CUMBRERO GALVAL 0,30X340X3000;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$6,19;C19187V0304003403000;38;OTROS PROVEEDOR;53
173;IPACTECHO 1025X25X0.30X3.60MTS;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$15,86;91020677;10;ULTRAFLEX;53
174;IPACTECHO 1025X25X0.30X3MTS;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$13,08;91020676;69;ULTRAFLEX;53
175;MALLA ELECTROSOLDADA 3.5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$25,49;005EMA06-03515;2;NOVACERO;53
176;MALLA ELECTROSOLDADA 4 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$27,21;91001907;55;NOVACERO;53
177;MALLA ELECTROSOLDADA 4.5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$33,30;D91011919;14;NOVACERO;53
178;MALLA ELECTROSOLDADA 5 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$67,39;D91011920;23;NOVACERO;53
179;MALLA ELECTROSOLDADA 5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$41,95;D91001910;25;NOVACERO;53
180;MALLA ELECTROSOLDADA 5.5 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$73,52;99350739;19;NOVACERO;53
181;MALLA ELECTROSOLDADA 5.5 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$49,95;91001911;43;NOVACERO;53
182;MALLA ELECTROSOLDADA 6 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$85,17;91001906;19;NOVACERO;53
183;MALLA ELECTROSOLDADA 6 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$51,83;D91011925;9;NOVACERO;53
184;MALLA ELECTROSOLDADA 8 (10*10) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$155,13;99350684;7;NOVACERO;53
185;MALLA ELECTROSOLDADA 8 (15*15) 6.25*2.40;CONSTRUCCIÓN;MALLAS;CONSTRUCCIÓN/MALLAS;$114,84;99350683;9;NOVACERO;53
186;MAXIEMPASTE EXTERIOR (20KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,72;91014271;14;INTACO;53
187;MAXIEMPASTE INTERIOR (20KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$11,04;91013818;192;INTACO;53
188;MORTERO ADH CEMIX CONSTRUCTOR 25KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$4,89;34575;222;CEMIX;53
189;MORTERO ADH CEMIX PSP 25KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$12,85;34571;121;CEMIX;53
190;MORTERO ADH CEMIX UNIVERSAL GRES 25KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$9,98;34573;158;CEMIX;53
191;PLANCHA GALVALUME DURA-TECH 0.30MMX4.2MT 14PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$17,67;631652;93;NOVACERO;53
192;PLANCHA GALVALUME DURA-TECH 0.30MMX5MT 17PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$21,45;631654;52;NOVACERO;53
193;PLANCHA GALVALUME DURA-TECH 0.30MMX6MT 20PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$25,32;631655;181;NOVACERO;53
194;PLANCHA GALVALUME DURA-TECH 0.30MMX7MT 22PIES;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$33,41;631656;184;NOVACERO;53
195;REYTECHO GALV. (0.30) 2.40 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$11,59;99352169;60;ULTRAFLEX;53
196;REYTECHO GALV. (0.30) 3.00 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$11,36;942541;28;ULTRAFLEX;53
197;REYTECHO GALV. (0.30) 3.60 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$13,64;99351669;7;ULTRAFLEX;53
198;REYTECHO GALV. (0.30) 4.80 MTS.;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$18,19;99351608;33;ULTRAFLEX;53
199;SELLADOR UNISEAL LISO CANECA UNIDAS;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$79,77;466F;3;UNIDAS;53
200;SELLADOR UNISEAL LISO GALON UNIDAS;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,73;466A;2;UNIDAS;53
201;SIKA EMPASTE INTERIOR (20KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$11,97;99350697;78;SIKA;53
202;SIKA PLASTOCRETE 161 - HE (10KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$30,83;3;6;SIKA;53
203;SIKA PLASTOCRETE 161 - HE (2KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$6,34;1;11;SIKA;53
204;SIKA PLASTOCRETE 161 - HE (4KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$12,47;2;18;SIKA;53
205;SIKA PLASTOCRETE DM - (10KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$32,27;47;9;SIKA;53
206;SIKA PLASTOCRETE DM - (2KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$7,16;45;5;SIKA;53
207;SIKA PLASTOCRETE DM - (4KG);CONSTRUCCIÓN;ADITIVO;CONSTRUCCIÓN/ADITIVO;$13,50;46;9;SIKA;53
208;SIKA SELLADOR (5KG);CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,13;D91018471;9;SIKA;53
209;SOLDADURA AGA 6011 1/8 20KG;CONSTRUCCIÓN;SOLDADURAS;CONSTRUCCIÓN/SOLDADURAS;$128,22;91011816;1.79;AGA;53
210;SOLDADURA ESAB OK 6011 1/8 FND.(1KG);CONSTRUCCIÓN;SOLDADURAS;CONSTRUCCIÓN/SOLDADURAS;$4,36;10J6OK2265325X351;683;ESAB;53
211;SOLDADURA ESAB OK 6011 1/8 FND.(5KG);CONSTRUCCIÓN;SOLDADURAS;CONSTRUCCIÓN/SOLDADURAS;$19,35;10J6OK2265325X350;79;ESAB;53
212;SUPERTECHO 1000 MM X 2,40 M X 0,25 MM (8');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$11,79;510007;7;ACESCO;53
213;SUPERTECHO 1000 MM X 3,60 M X 0,25 MM (12');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$12,20;510009;98;ACESCO;53
214;"SUPERTECHO 1000 MM X 3.00 M X 0,30 MM (10"")";CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$13,00;99351540;12;ACESCO;53
215;SUPERTECHO 1000 MM X 3.00 M X 0.25 MM (10');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$10,16;10-12.0018;55;ACESCO;53
216;"SUPERTECHO 1000 MM X 3.60 M X 0,30 MM (12"")";CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$16,09;C11101V0303010303600;178;ACESCO;53
217;"SUPERTECHO 1000 MM X 4.20 M X 0,30 MM (14"")";CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$18,79;C11101V0303010304200;97;ACESCO;53
218;SUPERTECHO 1000 MM X 4.20 M X 0.25 MM (14');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$14,24;10-12.0020;8;ACESCO;53
219;"SUPERTECHO 1000 MM X 4.80 M X 0,30 MM (16"")";CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$21,45;C11101V0303010304800;39;ACESCO;53
220;SUPERTECHO 1000 MM X 4.80 M X 0.25 MM (16');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$16,27;10-12.0021;83;ACESCO;53
221;SUPERTECHO 1000 MM X 5.00 M X 0.25 MM (17');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$16,94;10-12.0022;91;ACESCO;53
222;SUPERTECHO 1000 MM X 5.40 M X 0.25 MM (18');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$21,40;510017;59;ACESCO;53
223;SUPERTECHO 1000 MM X 6,00 M X 0,25 MM (20');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$20,33;510014;155;ACESCO;53
224;"SUPERTECHO 1000 MM X 6.00 M X 0,30 MM (20"")";CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$26,01;C11101V0303010306000;152;ACESCO;53
225;SUPERTECHO 1000 MM X 7,00 M X 0,25 MM (23');CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$23,73;99353434;215;ACESCO;53
226;"SUPERTECHO 1000 MM X 7.00 M X 0,30 MM (23"")";CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$32,62;99350750;149;ACESCO;53
227;TUBO CUADRADO 3*3 (75*3MM);CONSTRUCCIÓN;TUBOS;CONSTRUCCIÓN/TUBOS;$58,14;D91020465;67;OTROS PROVEEDOR;53
228;TUBO CUADRADO 4*2 (100*1.8MM);CONSTRUCCIÓN;TUBOS;CONSTRUCCIÓN/TUBOS;$44,92;D91020473;75;OTROS PROVEEDOR;53
229;TUBO CUADRADO 4*3 (100*3MM);CONSTRUCCIÓN;TUBOS;CONSTRUCCIÓN/TUBOS;$70,69;91020659;28;OTROS PROVEEDOR;53
230;TANQUE APILABLE 55 GALONES EC. AZUL PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$42,89;10-8.0161;6;PLASTIGAMA;53
231;TANQUE BOTELLA 1100 LT KIT 3/4 PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$193,13;91003008;2;PLASTIGAMA;53
232;TANQUE BOTELLA 250 LT KIT 1/2 PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$67,97;91004043;2;PLASTIGAMA;53
233;TANQUE BOTELLA 500LT. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$104,47;91004042;1;PLASTIGAMA;53
234;TANQUE CILINDRO STANDAR 500LT. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$110,65;91001551;2;PLASTIGAMA;53
235;TANQUE CONICO STANDAR 1000LT + KIT PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$218,61;91001557;2;PLASTIGAMA;53
236;TANQUE CONICO STANDAR 500LT. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$110,61;91001550;1;PLASTIGAMA;53
237;TERMINAL CURVO 1.40MT LARG 0.30MM (SUPERTECHO);CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$8,42;99350749;7;ACESCO;53
238;TERMINAL CURVO 1MT LARGO X0,30MM (SUPERTECHO);CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$6,01;99350751;12;ACESCO;53
239;TERMINAL CURVO DURA-TECH;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$9,83;631661;21;NOVACERO;53
240;TRASLUCIDA DURA-TECHO 12 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$43,82;TDMNRPLUS12;4;NOVACERO;53
241;TRASLUCIDA REY TECHO 3.60 MTS. TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$37,36;99351409;6;ULTRAFLEX;53
242;TRASLUCIDA REY TECHO 4.20 MTS. TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$56,92;99351410;8;ULTRAFLEX;53
243;TRASLUCIDA SUPERTECHO 12 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$43,82;SUPERT12P;7;ULTRAFLEX;53
244;TRASLUCIDA ZINC 10 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$20,55;945125874;4;OTROS PROVEEDOR;53
245;TRASLUCIDA ZINC 12 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$24,67;91014559;10;OTROS PROVEEDOR;53
246;TRASLUCIDA ZINC 8 PIES TRANSP;CONSTRUCCIÓN;CUBIERTAS;CONSTRUCCIÓN/CUBIERTAS;$17,30;99351408;11;OTROS PROVEEDOR;53
247;TUBO CONDUIT 1/2 X3M PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$1,31;91001377;3;PLASTIGAMA;53
248;TUBO DESAGUE 110MM * 3MTS. PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$10,65;91001388;1;PLASTIGAMA;53
249;TUBO DESAGUE 50MMX3MT PLASTIGAMA;CONSTRUCCIÓN;PLOMERÍA;CONSTRUCCIÓN/PLOMERÍA;$5,42;926224;17;PLASTIGAMA;53
250;UNIDAS ANTICORROSIVO CATERPILAR BRILLANTE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$19,55;D91018718;8;UNIDAS;53
251;UNIDAS ANTICORROSIVO CATERPILAR LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,98;D91018719;8;UNIDAS;53
252;UNIDAS ANTICORROSIVO GRIS BRILLANTE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$14,96;605A;5;UNIDAS;53
253;UNIDAS ANTICORROSIVO GRIS BRILLANT LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$4,51;D91018752;11;UNIDAS;53
254;UNIDAS ANTICORROSIVO GRIS MATE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$23,56;1020A;3;UNIDAS;53
255;UNIDAS ANTICORROSIVO GRIS MATE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$7,02;1020B;6;UNIDAS;53
256;UNIDAS ANTICORROSIVO NEGRO BRILLANTE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$24,92;600A;3;UNIDAS;53
257;UNIDAS ANTICORROSIVO NEGRO BRILLANTE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$7,12;D91018757;7;UNIDAS;53
258;UNIDAS ANTICORROSIVO NEGRO MATE GALÓN;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$14,15;91010608;5;UNIDAS;53
259;UNIDAS ANTICORROSIVO NEGRO MATE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$4,37;D91018775;12;UNIDAS;53
260;UNIDAS ANTICORROSIVO ROJO OXIDO BRILLANTE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,06;D91018760;3;UNIDAS;53
261;UNIDAS ANTICORROSIVO ROJO OXIDO BRILLANTE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,37;D91018759;3;UNIDAS;53
262;UNIDAS ANTICORROSIVO ROJO OXIDO MATE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$16,90;99350669;11;UNIDAS;53
263;UNIDAS ANTICORROSIVO ROJO OXIDO MATE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$4,82;D91018778;3;UNIDAS;53
264;UNIDAS LATEX SUPREMO ARENA LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,17;D91018961;4;UNIDAS;53
265;UNIDAS LATEX SUPREMO ARENA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1004A;10;UNIDAS;53
266;UNIDAS LATEX SUPREMO ARENA SAHARA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1048F;2;UNIDAS;53
267;UNIDAS LATEX SUPREMO ARENA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$92,67;LS-1004F;3;UNIDAS;53
268;UNIDAS LATEX SUPREMO AZUL MALIBU GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1041A;1;UNIDAS;53
269;UNIDAS LATEX SUPREMO BLANCO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$87,51;LS-1000F;3;UNIDAS;53
270;UNIDAS LATEX SUPREMO BLANCO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1000A;2;UNIDAS;53
271;UNIDAS LATEX SUPREMO BLANCO ANTIGUO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1001A;2;UNIDAS;53
272;UNIDAS LATEX SUPREMO BLANCO APACIBLE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,02;D91018979;3;UNIDAS;53
273;UNIDAS LATEX SUPREMO BLANCO APACIBLE LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$8,11;LS-1054B;2;UNIDAS;53
274;UNIDAS LATEX SUPREMO BLANCO HUESO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$108,96;LS-1010F;4;UNIDAS;53
275;UNIDAS LATEX SUPREMO BLANCO HUESO LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$5,22;D91018985;4;UNIDAS;53
276;UNIDAS LATEX SUPREMO BLANCO OSTRA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1005A;4;UNIDAS;53
277;UNIDAS LATEX SUPREMO BRISA BEIGE CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1047F;2;UNIDAS;53
278;UNIDAS LATEX SUPREMO CAFE CATALAN GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,02;D91018992;2;UNIDAS;53
279;UNIDAS LATEX SUPREMO CAFE NAPOLITANO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$22,02;D91018994;3;UNIDAS;53
280;UNIDAS LATEX SUPREMO CREMA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$99,62;D91019061;1;UNIDAS;53
281;UNIDAS LATEX SUPREMO CREMA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1046A;1;UNIDAS;53
282;UNIDAS LATEX SUPREMO CREMA SANTORINI CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,55;LS-1064F;1;UNIDAS;53
283;UNIDAS LATEX SUPREMO DAMASCO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,55;LS-1009F;2;UNIDAS;53
284;UNIDAS LATEX SUPREMO HUESO CLARO CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1055F;3;UNIDAS;53
285;UNIDAS LATEX SUPREMO LILA MAGICO LITRO;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$6,23;D91019010;2;UNIDAS;53
286;UNIDAS LATEX SUPREMO LILA MAGICO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1061A;1;UNIDAS;53
287;UNIDAS LATEX SUPREMO MAGNOLIA GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1011A;3;UNIDAS;53
288;UNIDAS LATEX SUPREMO MAGNOLIA CANECA;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$123,53;LS-1011F;3;UNIDAS;53
289;UNIDAS LATEX SUPREMO NARANJA AVENTURERO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1059A;2;UNIDAS;53
290;UNIDAS LATEX SUPREMO PRIMROSE GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$20,49;LS-1042A;3;UNIDAS;53
291;UNIDAS LATEX SUPREMO ROJO ATREVIDO GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$27,31;LS-1045A;5;UNIDAS;53
292;UNIDAS LATEX SUPREMO ROJO ILUSION GALON;CONSTRUCCIÓN;PINTURAS;CONSTRUCCIÓN/PINTURAS;$17,53;D91019027;5;UNIDAS;53
